cell_x,cell_y,accident_count,center_x,center_y,distance_to_centroid_m
432000,445000,12,432500.0,445500.0,11528.113700599977
441000,431000,12,441500.0,431500.0,11847.180652885969
441000,439000,12,441500.0,439500.0,12662.26674240802
440000,426000,12,440500.0,426500.0,13069.941181206525
429000,440000,11,429500.0,440500.0,6266.742511897974
434000,442000,11,434500.0,442500.0,9407.387056080388
442000,435000,11,442500.0,435500.0,12585.342770850977
442000,427000,11,442500.0,427500.0,14227.211358029177
426000,430000,10,426500.0,430500.0,5114.772664135465
427000,439000,10,427500.0,439500.0,5803.609322188486
423000,429000,10,423500.0,429500.0,8032.6963367940225
420000,435000,10,420500.0,435500.0,9558.64359635065
423000,442000,10,423500.0,442500.0,10487.48485548518
436000,443000,10,436500.0,443500.0,11317.64603478767
441000,427000,10,441500.0,427500.0,13355.412184025896
443000,432000,10,443500.0,432500.0,13636.197049322507
438000,445000,10,438500.0,445500.0,14112.988911594997
441000,444000,10,441500.0,444500.0,15421.375346479397
443000,445000,10,443500.0,445500.0,17590.025529340164
440000,449000,10,440500.0,449500.0,18527.226659090284
437000,436000,9,437500.0,436500.0,7852.099990448266
426000,441000,9,426500.0,441500.0,8039.259925654236
423000,439000,9,423500.0,439500.0,8336.416945028888
439000,433000,9,439500.0,433500.0,9552.852976412105
423000,444000,9,423500.0,444500.0,12123.599548091117
439000,446000,9,439500.0,446500.0,15515.158012209624
442000,443000,9,442500.0,443500.0,15568.177873264023
415000,441000,9,415500.0,441500.0,16190.06199874949
445000,427000,9,445500.0,427500.0,16927.878434359565
433000,428000,8,433500.0,428500.0,6744.785463081298
423000,431000,8,423500.0,431500.0,7036.940943875275
432000,442000,8,432500.0,442500.0,8625.886295407254
435000,427000,8,435500.0,427500.0,8722.842660531307
438000,438000,8,438500.0,438500.0,9523.461035214501
419000,437000,8,419500.0,437500.0,10968.841615671745
423000,443000,8,423500.0,443500.0,11290.903520013491
433000,445000,8,433500.0,445500.0,11787.447302735565
419000,440000,8,419500.0,440500.0,12198.646543873569
443000,434000,8,443500.0,434500.0,13525.538709286075
444000,431000,8,444500.0,431500.0,14781.583632498137
428000,438000,7,428500.0,438500.0,4497.913503078745
434000,431000,7,434500.0,431500.0,5294.348919033018
436000,429000,7,436500.0,429500.0,8070.242865591847
439000,431000,7,439500.0,431500.0,9912.75302731292
435000,442000,7,435500.0,442500.0,9927.005572866166
419000,433000,7,419500.0,433500.0,10503.658009132061
440000,437000,7,440500.0,437500.0,11013.272139861112
429000,445000,7,429500.0,445500.0,11258.680217127567
437000,443000,7,437500.0,443500.0,11922.064426497289
435000,445000,7,435500.0,445500.0,12531.437697103318
421000,443000,7,421500.0,443500.0,12545.57633019061
419000,444000,7,419500.0,444500.0,14655.907761692786
418000,445000,7,418500.0,445500.0,16070.043173640257
433000,438000,6,433500.0,438500.0,5519.399241331749
427000,428000,6,427500.0,428500.0,6262.034846449702
422000,429000,6,422500.0,429500.0,8858.76413605967
424000,441000,6,424500.0,441500.0,9084.970187656974
440000,431000,6,440500.0,431500.0,10877.00239042488
439000,428000,6,439500.0,428500.0,11125.249726088636
421000,442000,6,421500.0,442500.0,11827.693002120779
442000,429000,6,442500.0,429500.0,13394.322320837235
442000,440000,6,442500.0,440500.0,13995.594706225289
421000,445000,6,421500.0,445500.0,14084.949870875758
417000,444000,6,417500.0,444500.0,16146.287978282582
439000,447000,6,439500.0,447500.0,16316.166579440605
414000,442000,6,414500.0,442500.0,17537.638461513776
428000,439000,5,428500.0,439500.0,5452.37467397465
433000,439000,5,433500.0,439500.0,6321.465944655208
433000,442000,5,433500.0,442500.0,8969.527457012535
425000,442000,5,425500.0,442500.0,9385.113501479093
424000,426000,5,424500.0,426500.0,9491.007730862144
439000,434000,5,439500.0,434500.0,9526.497976337772
421000,429000,5,421500.0,429500.0,9717.571383711567
438000,429000,5,438500.0,429500.0,9758.167694359954
439000,436000,5,439500.0,436500.0,9785.115793980765
424000,442000,5,424500.0,442500.0,9901.204321436764
